159,Mozambique,Maputo,Africa,AF,MZN,MOZ,1036973,http://localhost:5000/get_country/Mozambique,http://localhost:5000/get_country/continent/Africa
160,Namibia,Windhoek,Africa,AF,NAD,NAM,3355338,http://localhost:5000/get_country/Namibia,http://localhost:5000/get_country/continent/Africa
161,New Caledonia,Noumea,Oceania,OC,XPF,NCL,2139685,http://localhost:5000/get_country/New%20Caledonia,http://localhost:5000/get_country/continent/Oceania
162,Niger,Niamey,Africa,AF,XOF,NER,2440476,http://localhost:5000/get_country/Niger,http://localhost:5000/get_country/continent/Africa
163,Norfolk Island,Kingston,Oceania,OC,AUD,NFK,2155115,http://localhost:5000/get_country/Norfolk%20Island,http://localhost:5000/get_country/continent/Oceania
164,Nigeria,Abuja,Africa,AF,NGN,NGA,2328926,http://localhost:5000/get_country/Nigeria,http://localhost:5000/get_country/continent/Africa
165,Nicaragua,Managua,North America,NA,NIO,NIC,3617476,http://localhost:5000/get_country/Nicaragua,http://localhost:5000/get_country/continent/North%20America
166,Netherlands,Amsterdam,Europe,EU,EUR,NLD,2750405,http://localhost:5000/get_country/Netherlands,http://localhost:5000/get_country/continent/Europe
167,Norway,Oslo,Europe,EU,NOK,NOR,3144096,http://localhost:5000/get_country/Norway,http://localhost:5000/get_country/continent/Europe
168,Nepal,Kathmandu,Asia,AS,NPR,NPL,1282988,http://localhost:5000/get_country/Nepal,http://localhost:5000/get_country/continent/Asia
169,Nauru,Yaren,Oceania,OC,AUD,NRU,2110425,http://localhost:5000/get_country/Nauru,http://localhost:5000/get_country/continent/Oceania
170,Niue,Alofi,Oceania,OC,NZD,NIU,4036232,http://localhost:5000/get_country/Niue,http://localhost:5000/get_country/continent/Oceania
171,New Zealand,Wellington,Oceania,OC,NZD,NZL,2186224,http://localhost:5000/get_country/New%20Zealand,http://localhost:5000/get_country/continent/Oceania
172,Oman,Muscat,Asia,AS,OMR,OMN,286963,http://localhost:5000/get_country/Oman,http://localhost:5000/get_country/continent/Asia
173,Panama,Panama City,North America,NA,PAB,PAN,3703430,http://localhost:5000/get_country/Panama,http://localhost:5000/get_country/continent/North%20America
174,Peru,Lima,South America,SA,PEN,PER,3932488,http://localhost:5000/get_country/Peru,http://localhost:5000/get_country/continent/South%20America
175,French Polynesia,Papeete,Oceania,OC,XPF,PYF,4030656,http://localhost:5000/get_country/French%20Polynesia,http://localhost:5000/get_country/continent/Oceania
176,Papua New Guinea,Port Moresby,Oceania,OC,PGK,PNG,2088628,http://localhost:5000/get_country/Papua%20New%20Guinea,http://localhost:5000/get_country/continent/Oceania
177,Philippines,Manila,Asia,AS,PHP,PHL,1694008,http://localhost:5000/get_country/Philippines,http://localhost:5000/get_country/continent/Asia
178,Pakistan,Islamabad,Asia,AS,PKR,PAK,1168579,http://localhost:5000/get_country/Pakistan,http://localhost:5000/get_country/continent/Asia
179,Poland,Warsaw,Europe,EU,PLN,POL,798544,http://localhost:5000/get_country/Poland,http://localhost:5000/get_country/continent/Europe
180,Saint Pierre and Miquelon,Saint-Pierre,North America,NA,EUR,SPM,3424932,http://localhost:5000/get_country/Saint%20Pierre%20and%20Miquelon,http://localhost:5000/get_country/continent/North%20America
181,Pitcairn Islands,Adamstown,Oceania,OC,NZD,PCN,4030699,http://localhost:5000/get_country/Pitcairn%20Islands,http://localhost:5000/get_country/continent/Oceania
182,Puerto Rico,San Juan,North America,NA,USD,PRI,4566966,http://localhost:5000/get_country/Puerto%20Rico,http://localhost:5000/get_country/continent/North%20America
183,Palestine,Ramallah,Asia,AS,ILS,PSE,6254930,http://localhost:5000/get_country/Palestine,http://localhost:5000/get_country/continent/Asia
184,Portugal,Lisbon,Europe,EU,EUR,PRT,2264397,http://localhost:5000/get_country/Portugal,http://localhost:5000/get_country/continent/Europe
185,Palau,Melekeok - Palau State Capital,Oceania,OC,USD,PLW,1559582,http://localhost:5000/get_country/Palau,http://localhost:5000/get_country/continent/Oceania
186,Paraguay,Asunción,South America,SA,PYG,PRY,3437598,http://localhost:5000/get_country/Paraguay,http://localhost:5000/get_country/continent/South%20America
187,Qatar,Doha,Asia,AS,QAR,QAT,289688,http://localhost:5000/get_country/Qatar,http://localhost:5000/get_country/continent/Asia
188,Réunion,Saint-Denis,Africa,AF,EUR,REU,935317,http://localhost:5000/get_country/Réunion,http://localhost:5000/get_country/continent/Africa
189,Romania,Bucharest,Europe,EU,RON,ROU,798549,http://localhost:5000/get_country/Romania,http://localhost:5000/get_country/continent/Europe
190,Serbia,Belgrade,Europe,EU,RSD,SRB,6290252,http://localhost:5000/get_country/Serbia,http://localhost:5000/get_country/continent/Europe
191,Russia,Moscow,Europe,EU,RUB,RUS,2017370,http://localhost:5000/get_country/Russia,http://localhost:5000/get_country/continent/Europe
